City,Continent,Latitude,Longitude,Scene_ID,Acquired,Cloud_Cover
Cape Town,Africa,-33.9249,18.4241,20231204_121130_ssc9d1_0005,2023-12-04T12:11:30.375Z,0
Cape Town,Africa,-33.9249,18.4241,20240103_120658_ssc9d3_0006,2024-01-03T12:06:58.75Z,0
Cape Town,Africa,-33.9249,18.4241,20231109_082508_ssc1d3_0011,2023-11-09T08:25:08.812Z,0
Cape Town,Africa,-33.9249,18.4241,20230507_080341_ssc12d1_0006,2023-05-07T08:03:41.687Z,0
Santiago,South America,-33.4489,-70.6693,20231212_134622_ssc13d3_0021,2023-12-12T13:46:22.062Z,0
Santiago,South America,-33.4489,-70.6693,20230629_180758_ssc11d3_0015,2023-06-29T18:07:58Z,0
Santiago,South America,-33.4489,-70.6693,20250110_181717_ssc9d2_0029,2025-01-10T18:17:17.739Z,0
Santiago,South America,-33.4489,-70.6693,20240404_131923_ssc12d1_0005,2024-04-04T13:19:23.625Z,0
Santiago,South America,-33.4489,-70.6693,20230124_161616_ssc14d1_0039,2023-01-24T16:16:16.062Z,0
Toronto,North America,43.6532,-79.3832,20240624_185154_ssc16d1_0021,2024-06-24T18:51:54.203Z,0
Toronto,North America,43.6532,-79.3832,20240224_184619_ssc14d3_0004,2024-02-24T18:46:19.75Z,0
Toronto,North America,43.6532,-79.3832,20240214_164142_ssc14d1_0020,2024-02-14T16:41:42.5Z,0
Toronto,North America,43.6532,-79.3832,20240722_194222_ssc6d1_0026,2024-07-22T19:42:22.439Z,0.01
Toronto,North America,43.6532,-79.3832,20240504_161309_ssc15d1_0021,2024-05-04T16:13:09.131Z,0
Auckland,Oceania,-36.8509,174.7645,20231227_211204_ssc12d1_0004,2023-12-27T21:12:04.875Z,0.05
Auckland,Oceania,-36.8509,174.7645,20230722_211518_ssc2d3_0003,2023-07-22T21:15:18.5Z,0
Auckland,Oceania,-36.8509,174.7645,20230811_013835_ssc9d1_0012,2023-08-11T01:38:35.75Z,0
Auckland,Oceania,-36.8509,174.7645,20230120_013930_ssc10d2_0027,2023-01-20T01:39:30.312Z,0
Auckland,Oceania,-36.8509,174.7645,20230722_211518_ssc2d1_0005,2023-07-22T21:15:18.5Z,0
Los Angeles,North America,34.0522,-118.2437,20241101_172153_ssc1d1_0011,2024-11-01T17:21:53.625Z,0
Los Angeles,North America,34.0522,-118.2437,20230822_141925_ssc14d3_0010,2023-08-22T14:19:25.187Z,0
Los Angeles,North America,34.0522,-118.2437,20230713_192614_ssc17d1_0013,2023-07-13T19:26:14.937Z,0
Los Angeles,North America,34.0522,-118.2437,20240325_175539_ssc1d3_0003,2024-03-25T17:55:39.75Z,0
Los Angeles,North America,34.0522,-118.2437,20241101_221536_ssc9d3_0007,2024-11-01T22:15:36.954Z,0
London,Europe,51.5074,-0.1278,20231012_152639_ssc16d3_0014,2023-10-12T15:26:39.5Z,0
London,Europe,51.5074,-0.1278,20240602_092835_ssc2d1_0052,2024-06-02T09:28:35.951Z,0
London,Europe,51.5074,-0.1278,20240418_124536_ssc16d3_0009,2024-04-18T12:45:36Z,0
London,Europe,51.5074,-0.1278,20240711_063053_ssc15d3_0011,2024-07-11T06:30:53.573Z,0
London,Europe,51.5074,-0.1278,20240430_092225_ssc16d2_0004,2024-04-30T09:22:25.562Z,0
