City,Continent,Latitude,Longitude,Scene_ID,Acquired,Cloud_Cover
Sydney,Oceania,-33.8688,151.2093,20240827_224119_ssc13d1_0006,2024-08-27T22:41:19.047Z,0
Sydney,Oceania,-33.8688,151.2093,20231213_031623_ssc9d2_0045,2023-12-13T03:16:23.312Z,0
Sydney,Oceania,-33.8688,151.2093,20230929_033725_ssc6d2_0011,2023-09-29T03:37:25.875Z,0
Chicago,North America,41.8781,-87.6298,20231005_202519_ssc14d1_0012,2023-10-05T20:25:19.25Z,0.04
Chicago,North America,41.8781,-87.6298,20231016_161209_ssc1d2_0005,2023-10-16T16:12:09.937Z,0
Chicago,North America,41.8781,-87.6298,20240415_165333_ssc16d2_0012,2024-04-15T16:53:33.812Z,0
Chicago,North America,41.8781,-87.6298,20250804_135815_ssc12d3_0008,2025-08-04T13:58:15.396Z,0
Chicago,North America,41.8781,-87.6298,20240415_165333_ssc16d1_0013,2024-04-15T16:53:33.812Z,0
NYC,North America,40.7128,-74.006,20230803_190441_ssc7d2_0006,2023-08-03T19:04:41.875Z,0.02
NYC,North America,40.7128,-74.006,20240218_143525_ssc13d1_0014,2024-02-18T14:35:25.812Z,0
NYC,North America,40.7128,-74.006,20231004_190848_ssc8d2_0002,2023-10-04T19:08:48.875Z,0
NYC,North America,40.7128,-74.006,20230905_133329_ssc14d3_0008,2023-09-05T13:33:29Z,0
NYC,North America,40.7128,-74.006,20240225_185152_ssc15d1_0056,2024-02-25T18:51:52.5Z,0
Melbourne,Oceania,-37.8136,144.9631,20231110_024404_ssc14d2_0006,2023-11-10T02:44:04.687Z,0.02
Melbourne,Oceania,-37.8136,144.9631,20230721_231434_ssc4d2_0026,2023-07-21T23:14:34.5Z,0.01
Melbourne,Oceania,-37.8136,144.9631,20230913_232806_ssc13d2_0012,2023-09-13T23:28:06.187Z,0
Melbourne,Oceania,-37.8136,144.9631,20241205_034650_ssc9d1_0004,2024-12-05T03:46:50.042Z,0
Melbourne,Oceania,-37.8136,144.9631,20230313_233551_ssc2d3_0014,2023-03-13T23:35:51.812Z,0
Amsterdam,Europe,52.3676,4.9041,20250318_143109_ssc9d2_0014,2025-03-18T14:31:09.755Z,0
Amsterdam,Europe,52.3676,4.9041,20240514_085122_ssc4d1_0018,2024-05-14T08:51:22.775Z,0
Amsterdam,Europe,52.3676,4.9041,20240408_171147_ssc16d3_0021,2024-04-08T17:11:47.312Z,0
Amsterdam,Europe,52.3676,4.9041,20230402_140559_ssc10d2_0011,2023-04-02T14:05:59.062Z,0
Amsterdam,Europe,52.3676,4.9041,20240412_150732_ssc16d1_0016,2024-04-12T15:07:32.937Z,0
Buenos Aires,South America,-34.6037,-58.3821,20231106_162652_ssc16d2_0009,2023-11-06T16:26:52.375Z,0
Buenos Aires,South America,-34.6037,-58.3821,20240404_140020_ssc16d3_0016,2024-04-04T14:00:20.437Z,0
